"Estado","emp","seg","dep","PL","lucros","gov_ca","gov_cf","gov_aud","maior_rem","plr_rva","qde_empregados","desp_investimento","desp_pessoal","Dividendos","Subvenção","Reforço de Capital","Resultado para o Estado Acionista","setor","Nome_estado","REGIAO","gov","result_NA","ROE","PL_formatado","Empresa","cat_ROE","setores_principais","sinal_ROE"
"RN","CEHAB - COMPANHIA ESTADUAL DE HABITACAO E DESENVOLVIMENTO URBANO","URBANIZAÇÃO","Dependente",13845659,248334,"SIM","SIM","NÃO","7626.13","Não",NA,2591519.75,1395912.78,0,0,0,NA,"HABITAÇÃO E URBANIZAÇÃO","Rio Grande do Norte","Nordeste",FALSE,TRUE,0.0179358743415536,"    13.845.659,00","CEHAB - COMPANHIA ESTADUAL DE HABITACAO E DESENVOLVIMENTO URBANO (RN)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: HABITAÇÃO E URBANIZAÇÃO
PL: R$     13.845.659,00
Lucros / Prejuízos no ano: R$       248.334,00
ROE: 1.7900%","pos","HABITAÇÃO E URBANIZAÇÃO","Positivo"
"RN","EMPARN - EMPRESA DE PESQUISA AGROPECUÁRIA DO RIO GRANDE DO NORTE S/A","PESQUISA","Dependente",1693900,-1143136,"SIM","SIM","NÃO","20512.09","Não",128,0,11352573,0,14498476.34,0,-14498476.34,"PESQUISA E ASSISTÊNCIA TÉCNICA","Rio Grande do Norte","Nordeste",FALSE,FALSE,-0.674854477832222,"     1.693.900,00","EMPARN - EMPRESA DE PESQUISA AGROPECUÁRIA DO RIO GRANDE DO NORTE S/A (RN)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: PESQUISA E ASSISTÊNCIA TÉCNICA
PL: R$      1.693.900,00
Lucros / Prejuízos no ano: R$    -1.143.136,00
ROE: -67.4900%","bem_neg","PESQUISA E ASSISTÊNCIA TÉCNICA","Negativo"
"RN","COMPANHIA POTIGUAR DE GÁS - POTIGÁS","DISTRIBUIÇÃO DE GÁS","Não Dependente",73251000,19358000,"SIM","SIM","SIM","22059","Sim",57,11119000,14215930,2458603,0,0,2458603,"DISTRIBUIÇÃO DE GÁS","Rio Grande do Norte","Nordeste",TRUE,FALSE,0.264269429768877,"    73.251.000,00","COMPANHIA POTIGUAR DE GÁS - POTIGÁS (RN)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: DISTRIBUIÇÃO DE GÁS
PL: R$     73.251.000,00
Lucros / Prejuízos no ano: R$    19.358.000,00
ROE: 26.4300%","pos","DISTRIBUIÇÃO DE GÁS","Positivo"
"RN","EMPRESA POTIGUAR DE PROMOÇÃO TURÍSTICA S/A - EMPROTUR","OUTRO","Dependente",1660726.62,-1075220.55,"SIM","SIM","SIM","7862.5","Não",NA,0,2185855.87,0,4693958.81,0,-4693958.81,"TURISMO","Rio Grande do Norte","Nordeste",TRUE,FALSE,-0.647439823659839,"     1.660.726,62","EMPRESA POTIGUAR DE PROMOÇÃO TURÍSTICA S/A - EMPROTUR (RN)
Dependência: Dependente
Possui todas as estruturas de Governança? Sim
Setor: TURISMO
PL: R$      1.660.726,62
Lucros / Prejuízos no ano: R$    -1.075.220,55
ROE: -64.7400%","bem_neg","Demais","Negativo"
"RN","COMPANHIA DE ÁGUAS E ESGOTOS DO RIO GRANDE DO NORTE - CAERN","SANEAMENTO","Não Dependente",2307683547.23,28810661.2999999,"SIM","SIM","SIM","12025","Sim",2230,143963328.39,226791321.87,0,0,542674809.46,-542674809.46,"SANEAMENTO","Rio Grande do Norte","Nordeste",TRUE,FALSE,0.0124846672909648," 2.307.683.547,23","COMPANHIA DE ÁGUAS E ESGOTOS DO RIO GRANDE DO NORTE - CAERN (RN)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: SANEAMENTO
PL: R$  2.307.683.547,23
Lucros / Prejuízos no ano: R$    28.810.661,30
ROE: 1.2500%","pos","SANEAMENTO","Positivo"
"RN","EMPRESA GESTORA DE ATIVOS DO RIO GRANDE DO NORTE - EMGERN","GESTÃO DE ATIVOS","Não Dependente",79185.78,0,"SIM","SIM","NÃO","13376.09","Não",35,0,1923378.62,0,0,0,NA,"GESTÃO DE ATIVOS","Rio Grande do Norte","Nordeste",FALSE,TRUE,0,"        79.185,78","EMPRESA GESTORA DE ATIVOS DO RIO GRANDE DO NORTE - EMGERN (RN)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Não
Setor: GESTÃO DE ATIVOS
PL: R$         79.185,78
Lucros / Prejuízos no ano: R$             0,00
ROE: 0.0000%","neg","GESTÃO DE ATIVOS","Negativo"
"AC","Banco do Estado do Acre S/A - BANACRE - Em Liquidação Ordinária","Financeiro","Dependente",22460.21,-6773.8,NA,NA,NA,NA,"Não",NA,0,1343719.57,0,1440210.71,0,-1440210.71,"FINANCEIRO","Acre","Norte",FALSE,FALSE,-0.301591124927149,"        22.460,21","Banco do Estado do Acre S/A - BANACRE - Em Liquidação Ordinária (AC)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: FINANCEIRO
PL: R$         22.460,21
Lucros / Prejuízos no ano: R$        -6.773,80
ROE: -30.1600%","neg","FINANCEIRO","Negativo"
"AC","Companhia de Colonização do Acre - COLONACRE","Abastecimento","Dependente",36984.59,45152.41,NA,NA,NA,NA,"Não",NA,0,0,0,6899,0,-6899,"ABASTECIMENTO","Acre","Norte",FALSE,FALSE,1.22084387037953,"        36.984,59","Companhia de Colonização do Acre - COLONACRE (AC)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: ABASTECIMENTO
PL: R$         36.984,59
Lucros / Prejuízos no ano: R$        45.152,41
ROE: 122.0800%","bem_pos","ABASTECIMENTO","Positivo"
"AL","Agência de Fomento de Alagoas S/A - DESENVOLVE","DESENVOLVIMENTO","Dependente",35547000,-4633000,"SIM","SIM","SIM",NA,"Não",38,NA,NA,0,0,0,NA,"FINANCEIRO","Alagoas","Nordeste",TRUE,TRUE,-0.130334486735871,"    35.547.000,00","Agência de Fomento de Alagoas S/A - DESENVOLVE (AL)
Dependência: Dependente
Possui todas as estruturas de Governança? Sim
Setor: FINANCEIRO
PL: R$     35.547.000,00
Lucros / Prejuízos no ano: R$    -4.633.000,00
ROE: -13.0300%","neg","FINANCEIRO","Negativo"
"AL","ALAGOAS ATIVOS S.A","GESTÃO DE ATIVOS","Não Dependente",2040425.16,-7988433,"SIM","SIM","NÃO","19950","Não",10,8195.96,981818.26,0,0,0,NA,"GESTÃO DE ATIVOS","Alagoas","Nordeste",FALSE,TRUE,-3.91508258014227,"     2.040.425,16","ALAGOAS ATIVOS S.A (AL)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Não
Setor: GESTÃO DE ATIVOS
PL: R$      2.040.425,16
Lucros / Prejuízos no ano: R$    -7.988.433,00
ROE: -391.5100%","bem_neg","GESTÃO DE ATIVOS","Negativo"
"AL","Banco do Estado de Alagoas - PRODUBAN","FINANCEIRO","Dependente",2297000,1669000,"NÃO","NÃO","NÃO",NA,"Não",0,NA,NA,0,0,0,NA,"FINANCEIRO","Alagoas","Nordeste",FALSE,TRUE,0.726599912929909,"     2.297.000,00","Banco do Estado de Alagoas - PRODUBAN (AL)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: FINANCEIRO
PL: R$      2.297.000,00
Lucros / Prejuízos no ano: R$     1.669.000,00
ROE: 72.6600%","bem_pos","FINANCEIRO","Positivo"
"AM","Agência de Fomento do Estado do Amazonas S.A. - AFEAM","Outro","Não Dependente",90524531.3,4924378.8,"Sim","Sim","Sim","28671.89","Não",131,0,34579394.41,0,0,0,0,"FINANCEIRO","Amazonas","Norte",TRUE,FALSE,0.0543982799941876,"    90.524.531,30","Agência de Fomento do Estado do Amazonas S.A. - AFEAM (AM)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: FINANCEIRO
PL: R$     90.524.531,30
Lucros / Prejuízos no ano: R$     4.924.378,80
ROE: 5.4400%","pos","FINANCEIRO","Positivo"
"AM","Companhia de Desenvolvimento do Estado do Amazonas - CIAMA","Desenvolvimento","Não Dependente",49238864.54,-823380.03,"Sim","Sim","Não","28060","Não",129,0,13542927.68,0,0,2314326.62,-2314326.62,"DESENVOLVIMENTO","Amazonas","Norte",FALSE,FALSE,-0.0167221571352669,"    49.238.864,54","Companhia de Desenvolvimento do Estado do Amazonas - CIAMA (AM)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Não
Setor: DESENVOLVIMENTO
PL: R$     49.238.864,54
Lucros / Prejuízos no ano: R$      -823.380,03
ROE: -1.6700%","neg","DESENVOLVIMENTO","Negativo"
"AM","Companhia de Gás do Amazonas - CIGÁS","Serviços Públicos","Não Dependente",176770064.41,60140382,"Sim","Sim","Não","28000","Sim",131,18687885.89,22048544.89,50546914.49,0,0,50546914.49,"DISTRIBUIÇÃO DE GÁS","Amazonas","Norte",FALSE,FALSE,0.340218137051252,"   176.770.064,41","Companhia de Gás do Amazonas - CIGÁS (AM)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Não
Setor: DISTRIBUIÇÃO DE GÁS
PL: R$    176.770.064,41
Lucros / Prejuízos no ano: R$    60.140.382,00
ROE: 34.0200%","pos","DISTRIBUIÇÃO DE GÁS","Positivo"
"AM","Empresa Estadual de Turismo do Amazonas - Amazonastur","Outro","Dependente",6057212.37,-411573.87,"Sim","Sim","Não","25254","Não",136,0,10752636.71,0,22852591.86,0,-22852591.86,"TURISMO","Amazonas","Norte",FALSE,FALSE,-0.0679477364931816,"     6.057.212,37","Empresa Estadual de Turismo do Amazonas - Amazonastur (AM)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: TURISMO
PL: R$      6.057.212,37
Lucros / Prejuízos no ano: R$      -411.573,87
ROE: -6.7900%","neg","Demais","Negativo"
"AM","PR0DAM - Processamento de Dados Amazonas S/A","Informática","Não Dependente",41971469.99,-8717407.56,"Sim","Sim","Não","39760.6","Não",390,1996661.57,50188832.78,0,0,0,0,"INFORMÁTICA","Amazonas","Norte",FALSE,FALSE,-0.207698409469027,"    41.971.469,99","PR0DAM - Processamento de Dados Amazonas S/A (AM)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Não
Setor: INFORMÁTICA
PL: R$     41.971.469,99
Lucros / Prejuízos no ano: R$    -8.717.407,56
ROE: -20.7700%","neg","INFORMÁTICA","Negativo"
"BA","Agência de Fomento do Estado da Bahia S.A. - DESENBAHIA","FINANCEIRO","Não Dependente",576700938.46,16002591.79,"SIM","SIM","SIM","24947","Sim",195,1726979.1,49213886.94,1761120.18,0,0,1761120.18,"FINANCEIRO","Bahia","Nordeste",TRUE,FALSE,0.0277485100557192,"   576.700.938,46","Agência de Fomento do Estado da Bahia S.A. - DESENBAHIA (BA)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: FINANCEIRO
PL: R$    576.700.938,46
Lucros / Prejuízos no ano: R$    16.002.591,79
ROE: 2.7700%","pos","FINANCEIRO","Positivo"
"BA","CIA DE ENGENHARIA HÍDRICA E DE SANEAMENTO DA BAHIA - CERB","SANEAMENTO","Dependente",6875526.26,1195348.76,"SIM","SIM",NA,"17859.14","Sim",405,82513807.33,35075174.36,0,102341820.87,0,-102341820.87,"SANEAMENTO","Bahia","Nordeste",FALSE,FALSE,0.17385560243646,"     6.875.526,26","CIA DE ENGENHARIA HÍDRICA E DE SANEAMENTO DA BAHIA - CERB (BA)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: SANEAMENTO
PL: R$      6.875.526,26
Lucros / Prejuízos no ano: R$     1.195.348,76
ROE: 17.3900%","pos","SANEAMENTO","Positivo"
"BA","COMPANHIA BAIANA DE PESQUISA MINERAL CBPM","DESENVOLVIMENTO","Dependente",123689785,-10085115.48,"SIM","SIM","NÃO","20623.400000000001","Não",179,71448.39,27505521.8,0,5037498.81,0,-5037498.81,"DESENVOLVIMENTO","Bahia","Nordeste",FALSE,FALSE,-0.0815355567155364,"   123.689.785,00","COMPANHIA BAIANA DE PESQUISA MINERAL CBPM (BA)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: DESENVOLVIMENTO
PL: R$    123.689.785,00
Lucros / Prejuízos no ano: R$   -10.085.115,48
ROE: -8.1500%","neg","DESENVOLVIMENTO","Negativo"
"BA","COMPANHIA DE GAS DA BAHIA BAHIAGÁS","DISTRIBUIÇÃO DE GÁS","Não Dependente",609121070.87,93941459.34,"SIM","SIM","NÃO","18107.740000000002","Sim",230,68087510.41,57899440.44,9298308.68,0,0,9298308.68,"DISTRIBUIÇÃO DE GÁS","Bahia","Nordeste",FALSE,FALSE,0.154224609576918,"   609.121.070,87","COMPANHIA DE GAS DA BAHIA BAHIAGÁS (BA)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Não
Setor: DISTRIBUIÇÃO DE GÁS
PL: R$    609.121.070,87
Lucros / Prejuízos no ano: R$    93.941.459,34
ROE: 15.4200%","pos","DISTRIBUIÇÃO DE GÁS","Positivo"
"BA","COMPANHIA DE PROCESSAMENTO DE DADOS DO ESTADO DA BAHIA","INFORMÁTICA","Não Dependente",31253189,3907211,"SIM","SIM","SIM","11008","Não",459,7440596,47149886,0,0,0,NA,"INFORMÁTICA","Bahia","Nordeste",TRUE,TRUE,0.125017994163732,"    31.253.189,00","COMPANHIA DE PROCESSAMENTO DE DADOS DO ESTADO DA BAHIA (BA)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: INFORMÁTICA
PL: R$     31.253.189,00
Lucros / Prejuízos no ano: R$     3.907.211,00
ROE: 12.5000%","pos","INFORMÁTICA","Positivo"
"BA","COMPANHIA DE TRANSPORTE DO ESTADO DA BAHIA  - CTB","TRANSPORTES","Dependente",77477614.13,-5279954.68,"SIM","SIM","NÃO","14406.58","Não",90,6943574.72,15551859.48,0,37692636.6,0,-37692636.6,"TRANSPORTES","Bahia","Nordeste",FALSE,FALSE,-0.068148132067422,"    77.477.614,13","COMPANHIA DE TRANSPORTE DO ESTADO DA BAHIA  - CTB (BA)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: TRANSPORTES
PL: R$     77.477.614,13
Lucros / Prejuízos no ano: R$    -5.279.954,68
ROE: -6.8100%","neg","TRANSPORTES","Negativo"
"BA","EMPRESA BAIANA DE AGUAS E SANEAMENTO DA BAHIA - EMBASA","ABASTECIMENTO","Não Dependente",5928178.46,279898703.65,"SIM","SIM","SIM","41377","Sim",4884,460328074.29,744813853.36,16892049.92,62405637.28,3902684.48,-49416271.84,"SANEAMENTO","Bahia","Nordeste",TRUE,FALSE,47.2149591208494,"     5.928.178,46","EMPRESA BAIANA DE AGUAS E SANEAMENTO DA BAHIA - EMBASA (BA)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: SANEAMENTO
PL: R$      5.928.178,46
Lucros / Prejuízos no ano: R$   279.898.703,65
ROE: 4 721.5000%","bem_pos","SANEAMENTO","Positivo"
"BA","EMPRESA GRÁFICA DA BAHIA - EGBA","SERVIÇOS PÚBLICOS","Não Dependente",62635221,1243036,"SIM","SIM","SIM","17423.55","Não",203,NA,10841460,0,0,0,NA,"COMUNICAÇÃO","Bahia","Nordeste",TRUE,TRUE,0.0198456392450503,"    62.635.221,00","EMPRESA GRÁFICA DA BAHIA - EGBA (BA)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: COMUNICAÇÃO
PL: R$     62.635.221,00
Lucros / Prejuízos no ano: R$     1.243.036,00
ROE: 1.9800%","pos","Demais","Positivo"
"CE","AGENCIA DE DESENVOLVIMENTO DO ESTADO DO CEARA S.A","DESENVOLVIMENTO","Não Dependente",108182108.8,5193378.05,"SIM","SIM","NÃO","13068.35","Não",0,1067448.61,8425684.39,0,0,50000,-50000,"DESENVOLVIMENTO","Ceará","Nordeste",FALSE,FALSE,0.0480058866258669,"   108.182.108,80","AGENCIA DE DESENVOLVIMENTO DO ESTADO DO CEARA S.A (CE)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Não
Setor: DESENVOLVIMENTO
PL: R$    108.182.108,80
Lucros / Prejuízos no ano: R$     5.193.378,05
ROE: 4.8000%","pos","DESENVOLVIMENTO","Positivo"
"CE","CENTRAIS DE ABASTECIMENTO DO CEARÁ S/A - CEASA","ABASTECIMENTO","Não Dependente",4935247.9,618780.27,"SIM","SIM","NÃO","15036.58","Não",41,1384556.18,7235337,0,0,0,NA,"ABASTECIMENTO","Ceará","Nordeste",FALSE,TRUE,0.12537977474242,"     4.935.247,90","CENTRAIS DE ABASTECIMENTO DO CEARÁ S/A - CEASA (CE)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Não
Setor: ABASTECIMENTO
PL: R$      4.935.247,90
Lucros / Prejuízos no ano: R$       618.780,27
ROE: 12.5400%","pos","ABASTECIMENTO","Positivo"
"CE","COMPANHIA CEARENSE DE TRANSPORTES METROPOLITANOS METROFOR","TRANSPORTES","Não Dependente",1085575695.92,-187730058.34,"SIM","SIM","NÃO","284959.71000000002","Não",227,33701428.84,39309057.75,0,0,146647615.48,-146647615.48,"TRANSPORTES","Ceará","Nordeste",FALSE,FALSE,-0.172931338685602," 1.085.575.695,92","COMPANHIA CEARENSE DE TRANSPORTES METROPOLITANOS METROFOR (CE)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Não
Setor: TRANSPORTES
PL: R$  1.085.575.695,92
Lucros / Prejuízos no ano: R$  -187.730.058,34
ROE: -17.2900%","neg","TRANSPORTES","Negativo"
"CE","COMPANHIA DE ÁGUA E ESGOTO DO CEARÁ - CAGECE","SANEAMENTO","Não Dependente",2411905878.67,165736042.46,"SIM","SIM","SIM","39718.9","Sim",1302,228157223.31,283485307.15,59033253.42,0,0,59033253.42,"SANEAMENTO","Ceará","Nordeste",TRUE,FALSE,0.0687158002000443," 2.411.905.878,67","COMPANHIA DE ÁGUA E ESGOTO DO CEARÁ - CAGECE (CE)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: SANEAMENTO
PL: R$  2.411.905.878,67
Lucros / Prejuízos no ano: R$   165.736.042,46
ROE: 6.8700%","pos","SANEAMENTO","Positivo"
"CE","COMPANHIA DE DESENVOLVIMENTO DO CEARÁ - CODECE","DESENVOLVIMENTO","Dependente",15791472.44,-4219000.54,"SIM","SIM","NÃO","179733.73","Não",25,1369118.79,2224331.73,0,2224331.73,0,-2224331.73,"DESENVOLVIMENTO","Ceará","Nordeste",FALSE,FALSE,-0.267169547110326,"    15.791.472,44","COMPANHIA DE DESENVOLVIMENTO DO CEARÁ - CODECE (CE)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: DESENVOLVIMENTO
PL: R$     15.791.472,44
Lucros / Prejuízos no ano: R$    -4.219.000,54
ROE: -26.7200%","neg","DESENVOLVIMENTO","Negativo"
"CE","COMPANHIA DE DESENVOLVIMENTO DO COMPLEXO INDUSTRIAL E PORTUARIO DO PECEM - CIPP","OUTRO","Não Dependente",1116810809.18,41256391.64,"SIM","SIM","SIM","14794.18","Sim",95,17849082.82,26469547.43,1535604.64,0,0,1535604.64,"PORTOS E HIDROVIAS","Ceará","Nordeste",TRUE,FALSE,0.0369412538819282," 1.116.810.809,18","COMPANHIA DE DESENVOLVIMENTO DO COMPLEXO INDUSTRIAL E PORTUARIO DO PECEM - CIPP (CE)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: PORTOS E HIDROVIAS
PL: R$  1.116.810.809,18
Lucros / Prejuízos no ano: R$    41.256.391,64
ROE: 3.6900%","pos","PORTOS E HIDROVIAS","Positivo"
"CE","COMPANHIA DE GAS DO CEARA - CEGAS","DISTRIBUIÇÃO DE GÁS","Não Dependente",206581278.12,60852840.01,"SIM","SIM","SIM","17607.61","Sim",117,24044611.21,14107487.97,6169436.16,0,0,6169436.16,"DISTRIBUIÇÃO DE GÁS","Ceará","Nordeste",TRUE,FALSE,0.294570933841601,"   206.581.278,12","COMPANHIA DE GAS DO CEARA - CEGAS (CE)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: DISTRIBUIÇÃO DE GÁS
PL: R$    206.581.278,12
Lucros / Prejuízos no ano: R$    60.852.840,01
ROE: 29.4600%","pos","DISTRIBUIÇÃO DE GÁS","Positivo"
"CE","COMPANHIA DE GESTÃO DOS RECURSOS HÍDRICOS - COGERH","ABASTECIMENTO","Não Dependente",225956109,2978094,"SIM","SIM","SIM","26868.54","Sim",116,38709892,29396469,8512012.55,0,0,8512012.55,"SANEAMENTO","Ceará","Nordeste",TRUE,FALSE,0.013179966734159,"   225.956.109,00","COMPANHIA DE GESTÃO DOS RECURSOS HÍDRICOS - COGERH (CE)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: SANEAMENTO
PL: R$    225.956.109,00
Lucros / Prejuízos no ano: R$     2.978.094,00
ROE: 1.3200%","pos","SANEAMENTO","Positivo"
